run_name,preset,run_id,timestamp,wavlm_variant,use_pantagruel,use_residual,fusion_dim,aug_types_enabled,finetune_scope,k_folds,max_len_s,batch_size,accum_steps,effective_batch,epochs_max,lr,weight_decay,dropout,hidden_dim,input_dropout,focal_gamma,n_total,n_healthy_target,oof_balanced_accuracy,oof_macro_f1,oof_macro_auc_ovr,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1,mean_macro_auc_ovr,std_macro_auc_ovr,notes
pantagruel_solo_kfold_aug,pantagruel_solo,35,2026-08-25T11:52:23,,True,False,1024.0,h_vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6192386645612452,0.5543619543751357,0.8434546120467012,0.617676282051282,0.0321168999783232,0.5418072456800654,0.0651101293666716,0.85401675365865,0.0136930454011467,
wavlm_bp_solo_kfold_aug,wavlm_bp_solo,36,2026-08-25T12:10:35,base_plus,False,False,768.0,h_vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5073590925203828,0.4847932154247112,0.7364508590714853,0.5023557692307692,0.0440393100494899,0.4745944448989384,0.0335570835623998,0.7430427791706402,0.0557109726520039,
residual_solo_kfold_aug,residual_solo,37,2026-08-25T12:19:05,,False,True,32.0,h_vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.3153064677258226,0.3182627034712194,0.5885206899180716,0.3186217948717949,0.0883245757818739,0.2976771428090879,0.1000169005331608,0.5886532315158588,0.0919943555264743,
pantagruel_residual_kfold_aug,pantagruel_residual,38,2026-08-25T13:56:32,,True,True,1056.0,h_vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5813803937997486,0.5266693155653361,0.8556444127975527,0.5815224358974359,0.0474952661444362,0.5088725494157954,0.0450927558694516,0.8585520575409242,0.0187193621278301,
wavlm_bp_residual_kfold_aug,wavlm_bp_residual,39,2026-08-25T14:22:33,base_plus,False,True,800.0,h_vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5034517095807418,0.48664632986466,0.7716504559997952,0.5015705128205128,0.0640023405210151,0.4884098329989629,0.0549397167708056,0.7823091855533373,0.0415165309088964,
pantagruel_wavlm_bp_residual_kfold_aug,pantagruel_wavlm_bp_residual,40,2026-08-25T14:53:40,base_plus,True,True,1824.0,h_vc+signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6036781766620476,0.5889343009931245,0.8443385979855738,0.6040064102564102,0.0317772237486214,0.5812935534783201,0.0226094913028229,0.8553846149662696,0.0290233510006936,
pantagruel_wavlm_la_kfold_aug,pantagruel_wavlm_la,41,2026-08-25T15:28:00,large,True,False,2048.0,h_vc+signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6984246398762528,0.6600730248941238,0.882647562155435,0.6971314102564102,0.0314402084429513,0.6550549814832249,0.0472107777228346,0.8818222289050273,0.0169905147239235,
pantagruel_wavlm_la_residual_kfold_aug,pantagruel_wavlm_la_residual,42,2026-08-25T16:05:40,large,True,True,2080.0,h_vc+signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6912518932680223,0.661646963873834,0.885951280242753,0.689423076923077,0.0350524036523606,0.6606155473793172,0.0330669514688852,0.8860253018064451,0.0135828935536405,
pantagruel_wavlm_bp_kfold_aug,pantagruel_wavlm_bp,43,2026-08-25T16:55:41,base_plus,True,False,1792.0,h_vc+signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6434433308626857,0.6344619581086693,0.8601627955640399,0.6421474358974358,0.0374544293566894,0.6285794702026088,0.0364707356202726,0.8684417704861263,0.0228158396265055,
pantagruel_solo_kfold_aug,pantagruel_solo,44,2026-08-26T09:56:15,,True,False,1024.0,h_vc+signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5833244980825626,0.550444044303616,0.8346587268188783,0.5814423076923078,0.0392324581712863,0.5339751418617249,0.0397546630751921,0.8460149749659622,0.0139067718498546,
wavlm_bp_solo_kfold_aug,wavlm_bp_solo,45,2026-08-26T10:15:43,base_plus,False,False,768.0,h_vc+signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.4841518964906062,0.4611089237834853,0.7392145527565456,0.4795833333333332,0.0635736745215185,0.4575787767745684,0.0348948050362503,0.7481469532433158,0.0506797290268613,
wavlm_la_solo_kfold_aug,wavlm_la_solo,46,2026-08-26T10:57:51,large,False,False,1024.0,h_vc+signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6381997035222842,0.5976755330152697,0.8326773401813891,0.6383012820512821,0.0333572091513493,0.5956284561605516,0.0554080191007838,0.8432416609017986,0.0376522192075073,
pantagruel_residual_kfold_aug,pantagruel_residual,47,2026-08-26T16:54:09,,True,True,1056.0,h_vc+signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5711517514743321,0.5489869465690467,0.8530931724359974,0.5732852564102563,0.01373837743200291,0.5413742611887276,0.044152855657959574,0.8521313184816925,0.02369943902429666,
